timestamp,x,y,vx,vy,v,beta,yaw
155.205,-129.77803200705748,37.36567403294498,4.930654015763875,0.09732568234852376,4.9316144731328135,0.019736336162797734,5.3594221091159895,0.11067757005246277
155.239,-129.6736757299927,37.23435854361195,4.905106389074454,0.09037871170106768,4.905938951889615,0.018423348824827174,5.363744351731344,0.13085611082308946
155.273,-129.57165819775028,37.10113578863667,4.976235807509268,-0.029012917811672003,4.976320383710977,-0.005830227947743329,5.364188136969987,-0.026524656694209958
155.307,-129.47082758858136,36.96718284879129,4.912570413494626,-0.04188761500901753,4.91274899011072,-0.008526412123607854,5.363017689843174,-0.04689766597898778
155.341,-129.36731083096285,36.836980662889594,4.8992549513416375,0.16980785947012908,4.902196832786641,0.034646066140529244,5.366261239928924,0.1929886326196007
155.374,-129.2612063041185,36.70842493261207,4.907517569895344,0.09325928881535632,4.908403609502976,0.01900106596803482,5.372490608965803,0.10835247692076781
155.409,-129.15732175614943,36.577885107419995,4.905095194538972,0.04601419298176272,4.905311016994241,0.009380621875746656,5.3745918250481495,0.05273150234732779
155.443,-129.05335883162363,36.44750081749191,4.904052053825284,0.051218280261064515,4.904319510274681,0.010443693816216414,5.376490940713625,0.05854978297162761
155.477,-128.94903667206296,36.31741316933636,4.904426644039411,0.05392959822351362,4.904723142882606,0.010995663443304476,5.378544349860237,0.06167962757407198
155.511,-128.84495209328128,36.18724071605583,4.903851087124197,0.011133601729160697,4.903863725857055,0.0022703753441080093,5.380013953028256,0.012043269889587455
155.545,-128.7416373638351,36.055759025021445,4.90851047930094,0.00685222458395105,4.90851526211225,0.0013959876752190031,5.379878049249842,0.009164667576716742
155.579,-128.63721683722258,35.92588091684763,4.900084249434264,0.061740479992007685,4.900473195358118,0.012599214608538276,5.381640007192649,0.0677993339578295
155.613,-128.53226310556542,35.79617919420623,4.903175076217528,0.03677087351325454,4.903312954032171,0.007499259892066269,5.38353533022891,0.039715934157427156
155.647,-128.42880372844047,35.6681815871822,4.868982006979764,0.0669165772313776,4.869441817354537,0.01374257791370977,5.384585657158283,0.04896010548130663
155.681,-128.32326927552634,35.539694630609375,4.892816578023859,0.06960631600279452,4.893311670577767,0.014225266713552039,5.387105383727448,0.0794368488845021
155.715,-128.2173279171387,35.411373468946564,4.8944937725985636,0.0680639916288098,4.894967006728704,0.013905340943740366,5.38978273228651,0.07795486402947023
155.749,-128.1110475052013,35.28326932782166,4.895733357694048,0.06725995341832132,4.89619536078495,0.01373761953575504,5.392413941765932,0.07702492487152103
155.783,-128.0044206072084,35.15540898838848,4.896527909134571,0.0672257109449526,4.896989367064812,0.013728398738863695,5.395029410317025,0.07697773268840871
155.817,-127.89703036865123,35.02794093433226,4.900891197925882,0.09104993495876591,4.901736898749603,0.018576103432007062,5.398096383833221,0.10350371008328077
155.851,-127.78845435281357,34.90138631645845,4.902459897809041,0.11596146724534663,4.90383116670135,0.023649320982697244,5.40218201288081,0.13214599345572217
155.885,-127.67964612824039,34.77523967191883,4.858001283122645,0.01787993700258159,4.858034186681737,0.0036804964071190174,5.406127536242327,0.05344441531926482
155.919,-127.5739347947897,34.64563190105495,4.934560782633614,-0.06577121293174878,4.934999085101858,-0.013327897133471841,5.404439641150972,-0.07208221356172806
155.953,-127.46942520684208,34.516054709522166,4.888654064080591,-0.04561299271309113,4.888866852692547,-0.009330107746770662,5.402098958272899,-0.051983296124037966
155.987,-127.36119645476708,34.39077819218864,4.8740484773281505,0.1730592216159657,4.877119852282819,0.035491348199422096,5.405649796036182,0.1952255000505125
156.021,-127.25085597681851,34.26691655705783,4.881327541019138,0.0850765965495133,4.882068884191659,0.01742722299273585,5.411532562016446,0.0988367531896457
156.055,-127.14238025138222,34.14132004119236,4.87983078036501,0.05468240296847497,4.8801371507563385,0.011205330016576151,5.413823942639716,0.06253677421627854
156.089,-127.03369423955375,34.01595660086048,4.879765817034631,0.058823894610130496,4.880120355040105,0.01205407139158347,5.416042849216962,0.06726185711649108
156.123,-126.92476061252276,33.890827557181886,4.87961773593125,0.04459245927610881,4.879821486103678,0.009138260496934562,5.418254347219115,0.04989967858111126
156.157,-126.81695262012141,33.764773911704545,4.881387962071589,-0.02203436878058483,4.88143769290001,-0.004513924993810928,5.418556583422735,-0.02591568379846173
156.191,-126.7094998800774,33.637573931279675,4.883868406605452,-0.0019693146495550094,4.883868803647275,-0.0004032284203561134,5.417897095301362,4.802178405310965e-05
156.225,-126.60049342193574,33.51259507502664,4.877771970268725,0.08993406065140606,4.878600980732539,0.018435439884339967,5.419980458734824,0.10164066396347812
156.259,-126.49031036783228,33.388338580064634,4.854319696784898,0.033476157122546535,4.8544351238521575,0.006896048994190593,5.423062465397051,0.06480658237285743
156.293,-126.3821881406564,33.26520371538269,4.860674274488591,0.04777753780335433,4.860909081210401,0.009829088822615104,5.424493644343307,0.03983862127598857
156.327,-126.27252339352367,33.14098551918068,4.874897756236986,0.0509394129425173,4.8751638903277215,0.010448949211223116,5.426373556840029,0.05818266510265743
156.361,-126.16257397508735,33.01689093070732,4.87712401761831,0.047332282777454625,4.87735369111389,0.009704653126392288,5.428282941509452,0.054223326662429454
156.395,-126.05243826057297,32.89287452235625,4.8787716381776445,0.0441805907411115,4.878971676704509,0.009055431652831404,5.430062588093156,0.05061186331792689
156.429,-125.94214098296206,32.76894427274365,4.880159111783975,0.03940437836881016,4.88031819263486,0.008074228967477273,5.431719178690091,0.045043878553018335
156.463,-125.83304410248245,32.643735503306544,4.885299545276386,-0.05868660576647829,4.885652030668378,-0.012012320319583561,5.43118537908352,-0.06685216513472803
156.497,-125.72507313103507,32.51742093847094,4.886723596473712,-0.011501794134359504,4.886737132238778,-0.0023536778105152675,5.429201896720523,-0.013576910489552358
156.531,-125.61535239472794,32.392820477853405,4.838446559538701,-0.00925423505370779,4.838455409568049,-0.0019126435840920416,5.430253402170586,0.026461456734121834
156.565,-125.50592049927344,32.266933144169876,4.910785669318589,-0.018585588555774614,4.910820839135428,-0.0037846285850858417,5.429612714866638,-0.020150415004761935
156.599,-125.39772444681984,32.14135151889645,4.8709440390578465,-0.043055151901187666,4.871134321463369,-0.008838949963903584,5.4285251368530085,-0.0492082595487084
156.633,-125.28700551590488,32.019116251598795,4.857526083454031,0.1547960604340706,4.859991920956471,0.031856482097225775,5.431608558748333,0.17650835671282283
156.667,-125.17441749891164,31.89817073410215,4.86494462167875,0.05528572045066016,4.865258747783796,0.011363611513976307,5.436799829740187,0.06497738089798993
156.701,-125.0641567523119,31.77488857666458,4.864405708233886,0.017716124154535072,4.864437969113541,0.003641975379577919,5.4377177757167745,0.02026506385227122
156.735,-124.9539065591741,31.651592373064936,4.864986884276056,0.019501416303476998,4.865025970065925,0.004008502451715014,5.4384528203327305,0.022278837564393895
156.769,-124.84427895439227,31.527853021405654,4.865098066575713,-0.026318955801784547,4.8651692555175545,-0.00540969548844109,5.4382949663166915,-0.031091335464453484
156.803,-124.73469773448586,31.403977190790364,4.869093542124547,0.03255967311933522,4.869202404323794,0.006686909490831979,5.438092958175899,0.034586572791065716
156.837,-124.62334058245679,31.280856660161927,4.872159218095915,0.05554976529645364,4.872475882228817,0.011400973564742713,5.439882211064624,0.06586705648851188
156.871,-124.51175275073777,31.15857949720328,4.87200114395075,0.05575871417126037,4.872320205083349,0.011444225536378501,5.441984200227618,0.06434129867842173
156.905,-124.39964310284857,31.036447351357083,4.816901235906502,0.0018158657683204876,4.816901578177208,0.00037697797678837904,5.444328060564671,0.042394610060485435
156.939,-124.28871451599349,30.916061534695128,4.863628001638548,0.05781436335847331,4.863971611649592,0.011886525955356527,5.446062847767032,0.058664153202598934
156.973,-124.17675394077442,30.794097372055486,4.870939157957771,0.03502781934425726,4.871065102075148,0.0071910599635430505,5.447621509772576,0.04014064714544411
157.007,-124.06470361360371,30.672071910144215,4.873663158714675,0.03195845686383268,4.873767939446627,0.006557285099934479,5.44892993450337,0.03658692355507538
157.033,-123.95253650568287,30.55004289043568,4.875937383214716,0.028153866286001437,4.876018663337706,0.005773977637616537,5.450099742085751,0.032260182061550784
157.075,-123.84014412175559,30.428027613532645,4.882248829460978,0.036200710511422284,4.882383037433116,0.007414625590638662,5.451261559173309,0.04176115374165726
